Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	%/Grd		%		
129,00	0,4786		92,45		
130,00	-0,0728		92,65		
131,00	-0,3187		92,45		
132,00	-0,1795		92,21		
133,00	-0,4319		91,90		
134,00	-0,3713		91,50		
135,00	-0,2263		91,20		
136,00	-0,3217		90,93		
137,00	-0,4173		90,56		
138,00	-0,1128		90,29		
139,00	-0,0486		90,21		
140,00	-0,3012		90,04		
141,00	-0,1530		89,81		
142,00	0,2374		89,85		
143,00	-0,0161		89,96		
144,00	-0,5916		89,66		
145,00	-0,5247		89,10		
146,00	-0,3765		88,65		
147,00	-0,3873		88,27		
148,00	-0,4790		87,83		
149,00	-0,3288		87,43		
150,00	-0,6665		86,93		
151,00	-0,1058		86,55		
152,00	-0,0360		86,47		
153,00	-1,0243		85,94		
154,00	-0,7079		85,08		
155,00	-0,3887		84,53		
156,00	-0,4803		84,10		
157,00	-0,8154		83,45		
158,00	-0,7415		82,67		
159,00	-0,1836		82,21		
160,00	-0,9202		81,65		
161,00	-1,0903		80,65		
162,00	-0,4485		79,88		
163,00	-0,9368		79,19		
164,00	-0,9433		78,25		
165,00	-0,5493		77,50		
166,00	-0,5543		76,95		
167,00	-0,6390		76,35		
168,00	-1,0407		75,51		
169,00	-1,3617		74,31		
170,00	-0,5725		73,34		
171,00	-0,8881		72,61		
172,00	-0,8949		71,72		
173,00	-0,1973		71,18		
174,00	-0,3562		70,90		
175,00	-1,4402		70,00		
176,00	-1,4440		68,56		
177,00	-0,5921		67,54		
178,00	-1,4286		66,53		
179,00	-0,4477		65,59		
180,00	-0,4460		65,15		
181,00	-0,9014		64,47		
182,00	-0,8205		63,61		
183,00	-0,8995		62,75		
184,00	-0,5981		62,00		
185,00	-0,9670		61,22		
186,00	-0,7452		60,36		
187,00	-0,3835		59,80		
188,00	-0,0973		59,56		
189,00	-0,3871		59,32		
190,00	-0,3899		58,93		
191,00	-0,5311		58,47		
192,00	-0,5334		57,94		
193,00	-0,2507		57,54		
194,00	-0,4630		57,19		
195,00	-0,1840		56,86		
196,00	-0,4633		56,54		
197,00	-0,7454		55,94		
198,00	-0,0503		55,54		
199,00	-0,3261		55,35		
200,00	-0,6717		54,85		
201,00	-0,3277		54,35		
202,00	0,0774		54,23		
203,00	-0,2617		54,13		
204,00	-0,5356		53,73		
205,00	-0,0642		53,43		
206,00	-0,1317		53,34		
207,00	0,0642		53,30		
208,00	-0,1365		53,27		
209,00	-0,2732		53,06		
210,00	0,1880		53,02		
211,00	-0,3402		52,94		
212,00	-0,2785		52,63		
213,00	0,1134		52,55		
214,00	-0,1496		52,53		
215,00	-0,0878		52,41		
216,00	0,2307		52,49		
217,00	0,0351		52,62		
218,00	-0,2263		52,52		
219,00	-0,0358		52,39		
220,00	-0,0382		52,36		
221,00	-0,1051		52,28		
222,00	-0,1080		52,18		
223,00	0,3262		52,29		
224,00	-0,1751		52,36		
225,00	-0,7430		51,90		
226,00	-0,0553		51,50		
227,00	0,1866		51,57		
228,00	-0,0019		51,66		
229,00	-0,5503		51,39		
230,00	-0,5500		50,84		
231,00	0,0531		50,59		
232,00	0,1074		50,67		
233,00	-0,2510		50,60		
234,00	0,0971		50,52		
235,00	0,2688		50,70		
236,00	0,1435		50,91		
237,00	0,1393		51,05		
238,00	-0,0982		51,07		
239,00	-0,1585		50,94		
240,00	-0,1053		50,81		
241,00	0,1171		50,82		
242,00	-0,7805		50,48		
243,00	-0,1187		50,03		
244,00	0,3827		50,17		
245,00	-0,2896		50,21		
246,00	-0,1230		50,01		
247,00	-0,3423		49,77		
248,00	-0,1288		49,54		
249,00	-0,0787		49,43		
250,00	-0,1354		49,33		
251,00	-0,2926		49,11		
252,00	-0,1939		48,87		
253,00	0,0103		48,78		
254,00	-0,3977		48,58		
255,00	0,8397		48,81		
256,00	0,2439		49,35		
257,00	-1,1217		48,91		
258,00	-0,1636		48,27		
259,00	-0,2126		48,08		
260,00	-0,0292		47,96		
261,00	0,0171		47,95		
262,00	-0,3649		47,78		
263,00	-0,0904		47,55		
264,00	-0,1808		47,41		
265,00	-0,5014		47,07		
266,00	-0,2293		46,71		
267,00	-0,2286		46,48		
268,00	-0,2758		46,23		
269,00	-0,1462		46,02		
270,00	-0,1502		45,87		
271,00	-0,0719		45,76		
272,00	-0,5227		45,46		
273,00	-0,5245		44,93		
274,00	-0,1907		44,58		
275,00	-0,3903		44,29		
276,00	-0,2327		43,98		
277,00	-0,1559		43,78		
278,00	-0,3079		43,55		
279,00	-0,2709		43,26		
280,00	-0,3036		42,97		
281,00	-0,3392		42,65		
282,00	-0,1252		42,42		
283,00	-0,1608		42,28		
284,00	-0,1997		42,10		
285,00	-0,1663		41,91		
286,00	-0,3003		41,68		
287,00	-0,3309		41,36		
288,00	-0,2945		41,05		
289,00	-0,2293		40,79		
290,00	-0,4089		40,47		
291,00	-0,2585		40,14		
292,00	-0,0134		40,00		
293,00	-0,2254		39,88		
294,00	-0,2540		39,64		
295,00	-0,2510		39,39		
296,00	-0,2765		39,13		
297,00	-0,2458		38,86		
298,00	-0,1393		38,67		
299,00	-0,1145		38,54		
300,00	-0,2692		38,35		
301,00	-0,1939		38,12		
302,00	-0,1170		37,97		
303,00	-0,2404		37,79		
304,00	-0,2832		37,53		
305,00	-0,2114		37,28		
306,00	-0,1633		37,09		
307,00	-0,2279		36,90		
308,00	-0,2048		36,68		
309,00	-0,1404		36,51		
310,00	-0,1607		36,36		
311,00	-0,1812		36,18		
312,00	-0,1593		36,01		
313,00	-0,2150		35,83		
314,00	-0,3046		35,57		
315,00	-0,2251		35,30		
316,00	-0,1120		35,13		
317,00	-0,1136		35,02		
318,00	-0,1972		34,87		
319,00	-0,6977		34,42		
320,00	-0,2363		33,95		
321,00	0,2578		33,96		
322,00	-0,1776		34,00		
323,00	-0,1598		33,83		
324,00	-0,1112		33,70		
325,00	-0,2087		33,54		
326,00	-0,2189		33,32		
327,00	-0,1682		33,13		
328,00	-0,1380		32,98		
329,00	-0,0827		32,87		
330,00	-0,0820		32,78		
331,00	-0,1286		32,68		
332,00	-0,1375		32,55		
333,00	-0,0860		32,43		
334,00	-0,1406		32,32		
335,00	-0,1262		32,19		
336,00	-0,0965		32,08		
337,00	-0,1265		31,97		
338,00	-0,0902		31,86		
339,00	-0,1061		31,76		
340,00	-0,1021		31,65		
341,00	-0,0867		31,56		
342,00	-0,1018		31,47		
343,00	-0,0595		31,39		
344,00	-0,0725		31,32		
345,00	-0,0606		31,25		
346,00	-0,1175		31,16		
347,00	-0,0872		31,06		
348,00	-0,0104		31,01		
349,00	-0,0598		30,98		
350,00	-0,0457		30,92		
351,00	-0,0741		30,86		
352,00	0,0125		30,83		
353,00	-0,0155		30,83		
354,00	-0,0687		30,79		
355,00	-0,0070		30,75		
356,00	-0,0024		30,75		
357,00	-0,0451		30,72		
358,00	-0,0330		30,69		
359,00	0,0189		30,68		
360,00	0,0000		30,69		
