Kurbelwinkel;P_ZYL1;Pcomp1
Grad;bar;bar
128;3,289;0,869
129;3,289;0,863
130;3,289;0,857
131;3,239;0,851
132;3,217;0,845
133;3,182;0,84
134;3,139;0,835
135;3,11;0,83
136;3,082;0,825
137;3,046;0,82
138;3,011;0,815
139;3,004;0,811
140;2,975;0,807
141;2,947;0,803
142;2,932;0,798
143;2,939;0,795
144;2,904;0,791
145;2,861;0,787
146;2,832;0,784
147;2,804;0,78
148;2,775;0,777
149;2,74;0,774
150;2,726;0,771
151;2,661;0,768
152;2,697;0,766
153;2,64;0,763
154;2,59;0,76
155;2,562;0,758
156;2,54;0,756
157;2,505;0,754
158;2,455;0,751
159;2,426;0,75
160;2,426;0,748
161;2,334;0,746
162;2,319;0,744
163;2,284;0,743
164;2,227;0,741
165;2,191;0,74
166;2,17;0,738
167;2,134;0,737
168;2,106;0,736
169;2,034;0,735
170;1,977;0,734
171;1,977;0,733
172;1,892;0,733
173;1,892;0,732
174;1,87;0,731
175;1,856;0,731
176;1,735;0,73
177;1,721;0,73
178;1,678;0,73
179;1,585;0,73
180;1,635;0,73
181;1,543;
182;1,55;
183;1,464;
184;1,464;
185;1,407;
186;1,371;
187;1,336;
188;1,336;
189;1,329;
190;1,3;
191;1,293;
192;1,25;
193;1,243;
194;1,229;
195;1,2;
196;1,215;
197;1,158;
198;1,143;
199;1,158;
200;1,115;
201;1,094;
202;1,086;
203;1,108;
204;1,065;
205;1,058;
206;1,065;
207;1,051;
208;1,079;
209;1,044;
210;1,058;
211;1,072;
212;1,029;
213;1,051;
214;1,051;
215;1,044;
216;1,051;
217;1,079;
218;1,065;
219;1,065;
220;1,072;
221;1,072;
222;1,072;
223;1,072;
224;1,122;
225;1,065;
226;1,051;
227;1,072;
228;1,086;
229;1,086;
230;1,037;
231;1,037;
232;1,058;
233;1,065;
234;1,044;
235;1,094;
236;1,094;
237;1,129;
238;1,129;
239;1,136;
240;1,129;
241;1,143;
242;1,165;
243;1,065;
244;1,172;
245;1,136;
246;1,158;
247;1,143;
248;1,136;
249;1,151;
250;1,151;
251;1,158;
252;1,136;
253;1,158;
254;1,165;
255;1,129;
256;1,314;
257;1,193;
258;1,186;
259;1,2;
260;1,186;
261;1,229;
262;1,222;
263;1,208;
264;1,243;
265;1,215;
266;1,2;
267;1,215;
268;1,2;
269;1,208;
270;1,215;
271;1,222;
272;1,243;
273;1,172;
274;1,193;
275;1,179;
276;1,165;
277;1,179;
278;1,179;
279;1,165;
280;1,172;
281;1,151;
282;1,151;
283;1,172;
284;1,165;
285;1,179;
286;1,179;
287;1,165;
288;1,158;
289;1,151;
290;1,158;
291;1,108;
292;1,151;
293;1,158;
294;1,151;
295;1,151;
296;1,143;
297;1,136;
298;1,136;
299;1,158;
300;1,165;
301;1,143;
302;1,172;
303;1,172;
304;1,165;
305;1,151;
306;1,165;
307;1,165;
308;1,158;
309;1,165;
310;1,179;
311;1,179;
312;1,186;
313;1,193;
314;1,179;
315;1,151;
316;1,165;
317;1,179;
318;1,193;
319;1,172;
320;0,965;
321;1,143;
322;1,151;
323;1,136;
324;1,151;
325;1,158;
326;1,122;
327;1,122;
328;1,108;
329;1,122;
330;1,136;
331;1,151;
332;1,136;
333;1,143;
334;1,158;
335;1,129;
336;1,151;
337;1,136;
338;1,136;
339;1,143;
340;1,129;
341;1,136;
342;1,129;
343;1,122;
344;1,143;
345;1,122;
346;1,151;
347;1,079;
348;1,129;
349;1,115;
350;1,122;
351;1,115;
352;1,094;
353;1,158;
354;1,108;
355;1,122;
356;1,122;
357;1,136;
358;1,094;
359;1,115;
