Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	kJ/m3Grd		kJ/m3		
22,00	42,584		1084,2		
23,00	43,010		1127,0		
24,00	43,985		1170,5		
25,00	46,024		1215,5		
26,00	43,722		1260,3		
27,00	43,800		1304,1		
28,00	45,530		1348,8		
29,00	41,838		1392,5		
30,00	38,378		1432,6		
31,00	39,977		1471,7		
32,00	37,016		1510,2		
33,00	31,915		1544,7		
34,00	29,155		1575,2		
35,00	23,519		1601,6		
36,00	22,008		1624,3		
37,00	21,412		1646,0		
38,00	14,989		1664,2		
39,00	12,455		1678,0		
40,00	14,219		1691,3		
41,00	11,933		1704,4		
42,00	9,034		1714,9		
43,00	8,983		1723,9		
44,00	8,152		1732,4		
45,00	4,501		1738,8		
46,00	3,333		1742,7		
47,00	6,802		1747,8		
48,00	4,372		1753,3		
49,00	-1,150		1755,0		
50,00	0,280		1754,5		
51,00	2,426		1755,9		
52,00	-0,187		1757,0		
53,00	-2,793		1755,5		
54,00	-3,277		1752,5		
55,00	-0,207		1750,7		
56,00	-2,184		1749,5		
57,00	-3,114		1746,9		
58,00	0,793		1745,7		
59,00	-2,901		1744,7		
60,00	-3,736		1741,3		
61,00	-1,410		1738,8		
62,00	9,798		1743,0		
63,00	-0,440		1747,6		
64,00	-12,632		1741,1		
65,00	0,363		1735,0		
66,00	-0,404		1735,0		
67,00	-4,044		1732,7		
68,00	-1,743		1729,8		
69,00	1,013		1729,5		
70,00	-1,985		1729,0		
71,00	-3,291		1726,3		
72,00	0,396		1724,9		
73,00	-0,827		1724,7		
74,00	-2,014		1723,3		
75,00	-3,226		1720,6		
76,00	-2,738		1717,7		
77,00	-1,231		1715,7		
78,00	-23,993		1703,1		
79,00	-6,158		1688,0		
80,00	19,680		1694,8		
81,00	2,796		1706,0		
82,00	-3,727		1705,5		
83,00	-7,501		1699,9		
84,00	-0,902		1695,7		
85,00	-1,893		1694,3		
86,00	-3,638		1691,5		
87,00	2,315		1690,9		
88,00	-1,421		1691,3		
89,00	-4,197		1688,5		
90,00	1,115		1687,0		
91,00	-0,731		1687,2		
92,00	-2,374		1685,6		
93,00	-1,070		1683,9		
94,00	-0,730		1683,0		
95,00	-0,369		1682,4		
96,00	-3,092		1680,7		
97,00	-0,461		1678,9		
98,00	-2,275		1677,6		
99,00	0,462		1676,7		
100,00	2,184		1678,0		
101,00	0,538		1679,4		
102,00	-3,542		1677,9		
103,00	-5,199		1673,5		
104,00	-0,020		1670,9		
105,00	-0,480		1670,6		
106,00	-3,383		1668,7		
107,00	-1,507		1666,2		
108,00	-1,995		1664,5		
109,00	-4,942		1661,0		
110,00	-3,034		1657,0		
111,00	-2,219		1654,4		
112,00	3,470		1655,0		
113,00	1,827		1657,7		
114,00	-0,942		1658,1		
115,00	1,164		1658,2		
116,00	3,320		1660,5		
117,00	-2,162		1661,1		
118,00	0,116		1660,0		
119,00	0,929		1660,6		
120,00	-4,546		1658,8		
121,00	1,617		1657,3		
122,00	-4,024		1656,1		
123,00	-6,994		1650,6		
124,00	-0,714		1646,7		
125,00	0,314		1646,5		
126,00	-4,041		1644,7		
127,00	-15,169		1635,1		
128,00	-7,376		1623,8		
129,00	8,409		1624,3		
130,00	-1,280		1627,9		
131,00	-5,600		1624,4		
132,00	-3,154		1620,0		
133,00	-7,589		1614,7		
134,00	-6,523		1607,6		
135,00	-3,975		1602,4		
136,00	-5,652		1597,6		
137,00	-7,332		1591,1		
138,00	-1,982		1586,4		
139,00	-0,855		1585,0		
140,00	-5,292		1581,9		
141,00	-2,688		1577,9		
142,00	4,170		1578,7		
143,00	-0,283		1580,6		
144,00	-10,395		1575,3		
145,00	-9,220		1565,5		
146,00	-6,616		1557,5		
147,00	-6,804		1550,8		
148,00	-8,417		1543,2		
149,00	-5,777		1536,1		
150,00	-11,710		1527,4		
151,00	-1,858		1520,6		
152,00	-0,633		1519,4		
153,00	-17,997		1510,0		
154,00	-12,437		1494,8		
155,00	-6,830		1485,2		
156,00	-8,439		1477,6		
157,00	-14,327		1466,2		
158,00	-13,027		1452,5		
159,00	-3,225		1444,4		
160,00	-16,168		1434,7		
161,00	-19,157		1417,0		
162,00	-7,880		1403,5		
163,00	-16,459		1391,3		
164,00	-16,574		1374,8		
165,00	-9,651		1361,7		
166,00	-9,740		1352,0		
167,00	-11,228		1341,5		
168,00	-18,285		1326,8		
169,00	-23,925		1305,6		
170,00	-10,060		1288,7		
171,00	-15,603		1275,8		
172,00	-15,724		1260,2		
173,00	-3,466		1250,6		
174,00	-6,258		1245,7		
175,00	-25,305		1229,9		
176,00	-25,371		1204,6		
177,00	-10,403		1186,7		
178,00	-25,100		1168,9		
179,00	-7,867		1152,5		
180,00	-7,835		1144,6		
181,00	-15,837		1132,8		
182,00	-14,416		1117,6		
183,00	-15,804		1102,5		
184,00	-10,509		1089,4		
185,00	-16,990		1075,6		
186,00	-13,092		1060,6		
187,00	-6,738		1050,7		
188,00	-1,710		1046,5		
189,00	-6,801		1042,2		
190,00	-6,851		1035,4		
191,00	-9,332		1027,3		
192,00	-9,372		1017,9		
193,00	-4,405		1011,0		
194,00	-8,134		1004,8		
195,00	-3,233		999,1		
196,00	-8,141		993,4		
197,00	-13,096		982,8		
198,00	-0,883		975,8		
199,00	-5,729		972,5		
200,00	-11,802		963,7		
201,00	-5,759		954,9		
202,00	1,359		952,7		
203,00	-4,598		951,1		
204,00	-9,410		944,1		
205,00	-1,128		938,8		
206,00	-2,314		937,1		
207,00	1,128		936,5		
208,00	-2,399		935,9		
209,00	-4,800		932,3		
210,00	3,304		931,5		
211,00	-5,977		930,2		
212,00	-4,893		924,8		
213,00	1,992		923,3		
214,00	-2,628		923,0		
215,00	-1,542		920,9		
216,00	4,053		922,2		
217,00	0,616		924,5		
218,00	-3,976		922,8		
219,00	-0,628		920,5		
220,00	-0,671		919,9		
221,00	-1,846		918,6		
222,00	-1,898		916,8		
223,00	5,732		918,7		
224,00	-3,077		920,0		
225,00	-13,055		911,9		
226,00	-0,971		904,9		
227,00	3,279		906,1		
228,00	-0,033		907,7		
229,00	-9,669		902,8		
230,00	-9,664		893,2		
231,00	0,932		888,8		
232,00	1,888		890,2		
233,00	-4,410		889,0		
234,00	1,706		887,6		
235,00	4,723		890,8		
236,00	2,521		894,4		
237,00	2,448		896,9		
238,00	-1,725		897,3		
239,00	-2,784		895,0		
240,00	-1,851		892,7		
241,00	2,057		892,8		
242,00	-13,714		887,0		
243,00	-2,085		879,1		
244,00	6,724		881,4		
245,00	-5,088		882,2		
246,00	-2,161		878,6		
247,00	-6,014		874,5		
248,00	-2,263		870,4		
249,00	-1,382		868,6		
250,00	-2,379		866,7		
251,00	-5,141		862,9		
252,00	-3,407		858,6		
253,00	0,180		857,0		
254,00	-6,988		853,6		
255,00	14,754		857,5		
256,00	4,286		867,0		
257,00	-19,708		859,3		
258,00	-2,874		848,0		
259,00	-3,736		844,7		
260,00	-0,512		842,6		
261,00	0,301		842,5		
262,00	-6,412		839,4		
263,00	-1,588		835,4		
264,00	-3,176		833,1		
