Volumen	P_ZYL1	P_ZYL2	
cm3	bar		
156,25	1,127		
154,08	1,155		
151,90	1,148		
149,71	1,134		
147,52	1,155		
145,33	1,155		
143,14	1,105		
140,95	1,119		
138,75	1,112		
136,56	1,105		
134,37	1,105		
132,18	1,098		
130,00	1,112		
127,82	1,105		
125,64	1,119		
123,47	1,148		
121,31	1,127		
119,16	1,134		
117,01	1,119		
114,87	1,105		
112,75	1,105		
110,64	1,105		
108,54	1,155		
106,45	1,127		
104,37	1,134		
102,32	1,127		
100,28	1,134		
98,25	1,127		
96,24	1,134		
94,26	1,141		
92,29	1,119		
90,34	1,127		
88,42	1,134		
86,52	1,134		
84,64	1,098		
82,78	1,098		
80,95	1,112		
79,15	1,098		
77,38	1,134		
75,63	1,127		
73,91	1,105		
72,22	1,084		
70,56	1,077		
68,93	1,105		
67,33	1,134		
65,77	1,119		
64,24	1,084		
62,74	1,077		
61,28	1,098		
59,85	1,098		
58,46	1,119		
57,11	1,119		
55,80	1,091		
54,52	1,055		
53,28	1,070		
52,08	0,977		
50,92	1,112		
49,81	1,098		
48,73	1,105		
47,70	1,070		
46,70	1,084		
45,75	1,070		
44,85	1,070		
43,99	1,091		
43,17	1,105		
42,39	1,098		
41,66	1,077		
40,98	1,091		
40,34	1,084		
39,75	1,098		
39,20	1,048		
38,71	1,098		
38,25	1,098		
37,85	1,084		
37,49	1,105		
37,18	1,070		
36,92	1,084		
36,70	1,070		
36,53	1,084		
36,41	1,055		
36,34	1,034		
