Kurbelwinkel	P_ZYL1	Pcomp1	
Grad	bar	bar	
140	2,965	0,800	
141	2,922	0,796	
142	2,922	0,792	
143	2,865	0,788	
144	2,837	0,785	
145	2,801	0,781	
146	2,780	0,778	
147	2,759	0,774	
148	2,709	0,771	
149	2,694	0,768	
150	2,666	0,765	
151	2,652	0,762	
152	2,645	0,760	
153	2,588	0,757	
154	2,516	0,755	
155	2,516	0,752	
156	2,588	0,750	
157	2,459	0,748	
158	2,409	0,746	
159	2,388	0,744	
160	2,359	0,742	
161	2,302	0,740	
162	2,295	0,738	
163	2,238	0,737	
164	2,217	0,735	
165	2,181	0,734	
166	2,139	0,733	
167	2,060	0,731	
168	2,032	0,730	
169	1,989	0,729	
170	1,939	0,728	
171	1,932	0,728	
172	1,690	0,727	
173	1,861	0,726	
174	1,761	0,726	
175	1,782	0,725	
176	1,739	0,725	
177	1,697	0,724	
178	1,618	0,724	
179	1,604	0,724	
180	1,540	0,724	
181	1,533		
182	1,447		
183	1,461		
184	1,397		
185	1,390		
186	1,355		
187	1,362		
188	1,312		
189	1,290		
190	1,248		
191	1,226		
192	1,162		
193	1,176		
194	1,155		
195	1,112		
196	1,127		
197	1,112		
198	1,112		
199	1,112		
200	1,091		
201	1,077		
202	1,055		
203	1,048		
204	1,048		
205	1,062		
206	1,020		
207	1,041		
208	1,041		
209	1,012		
210	1,027		
211	1,012		
212	0,998		
213	0,998		
214	0,991		
215	1,005		
216	0,991		
217	1,027		
218	1,005		
219	0,998		
220	1,005		
221	0,963		
222	1,012		
223	0,977		
224	1,005		
225	1,005		
226	1,020		
227	1,005		
228	0,984		
229	1,012		
230	1,048		
231	1,055		
232	1,041		
233	0,998		
234	1,041		
235	1,062		
236	1,027		
237	1,020		
238	1,034		
239	1,091		
240	1,048		
241	1,062		
242	1,055		
243	1,041		
244	1,070		
245	1,077		
246	1,077		
247	1,084		
248	1,077		
249	1,112		
250	1,077		
251	1,098		
252	1,077		
253	1,176		
254	1,162		
255	1,162		
256	1,162		
257	1,176		
258	1,184		
259	1,169		
260	1,191		
261	1,148		
262	1,134		
263	1,148		
264	1,141		
265	1,141		
266	1,127		
267	1,148		
268	1,148		
269	1,091		
270	1,162		
271	1,134		
272	1,127		
273	1,134		
274	1,119		
275	1,134		
276	1,112		
277	1,141		
278	1,148		
279	1,127		
280	1,155		
281	1,148		
282	1,134		
283	1,155		
284	1,155		
285	1,105		
286	1,119		
287	1,112		
288	1,105		
289	1,105		
290	1,098		
291	1,112		
292	1,105		
293	1,119		
294	1,148		
295	1,127		
296	1,134		
297	1,119		
298	1,105		
299	1,105		
300	1,105		
301	1,155		
302	1,127		
303	1,134		
304	1,127		
305	1,134		
306	1,127		
307	1,134		
308	1,141		
309	1,119		
310	1,127		
311	1,134		
312	1,134		
313	1,098		
314	1,098		
315	1,112		
316	1,098		
317	1,134		
318	1,127		
319	1,105		
320	1,084		
321	1,077		
322	1,105		
323	1,134		
324	1,119		
325	1,084		
326	1,077		
327	1,098		
328	1,098		
329	1,119		
330	1,119		
331	1,091		
332	1,055		
333	1,070		
334	0,977		
335	1,112		
336	1,098		
337	1,105		
338	1,070		
339	1,084		
340	1,070		
341	1,070		
342	1,091		
343	1,105		
344	1,098		
345	1,077		
346	1,091		
347	1,084		
348	1,098		
349	1,048		
350	1,098		
351	1,098		
352	1,084		
353	1,105		
354	1,070		
355	1,084		
356	1,070		
357	1,084		
358	1,055		
359	1,034		
